consonant,ɑ,ā,ə,i,e,ai,əi
b,3170.0,78.0,16.0,1150.0,991.0,0.0,16.0
p,4213.0,0.0,8.0,585.0,486.0,0.0,6.0
t̪,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ʈ,625.0,0.0,16.0,169.0,162.0,0.0,16.0
s,7548.0,486.0,321.0,5571.0,3912.0,0.0,315.0
d͡ʒ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t͡ʃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h,2208.0,0.0,6.0,502.0,1118.0,0.0,6.0
d,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x,3132.0,0.0,24.0,582.0,1304.0,0.0,24.0
t͡s,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d͡z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d̪,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ɖ,377.0,0.0,19.0,266.0,746.0,0.0,19.0
z,762.0,0.0,168.0,660.0,258.0,0.0,168.0
r,5826.0,57.0,528.0,3423.0,2976.0,0.0,526.0
ɻ,665.0,0.0,1511.0,2292.0,1332.0,0.0,1510.0
z,762.0,0.0,168.0,660.0,258.0,0.0,168.0
d͡z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ʐ,1.0,0.0,29.0,985.0,99.0,0.0,29.0
s,7548.0,486.0,321.0,5571.0,3912.0,0.0,315.0
ʃ,2000.0,79.0,229.0,1722.0,5406.0,0.0,229.0
x,3132.0,0.0,24.0,582.0,1304.0,0.0,24.0
s,7548.0,486.0,321.0,5571.0,3912.0,0.0,315.0
d̪,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t̪,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z,762.0,0.0,168.0,660.0,258.0,0.0,168.0
ɣ,3099.0,0.0,45.0,95.0,406.0,0.0,44.0
f,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q,667.0,66.0,8.0,175.0,40.0,0.0,8.0
k,4287.0,12.0,229.0,1697.0,7748.0,0.0,229.0
ɡ,580.0,0.0,23.0,167.0,293.0,0.0,23.0
l,5764.0,41.0,598.0,3311.0,2296.0,0.0,597.0
m,3523.0,638.0,76.0,1167.0,1293.0,0.0,76.0
n,2597.0,94.0,672.0,2093.0,1907.0,0.0,669.0
ɳ,19.0,0.0,46.0,74.0,281.0,0.0,46.0
w,6969.0,179.0,91.0,4068.0,1511.0,0.0,82.0
h,2208.0,0.0,6.0,502.0,1118.0,0.0,6.0
t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
