consonant,ɑ,ā,ə,i,e,ai,əi
b,235.0,12.0,0.0,35.0,57.0,0.0,0.0
p,334.0,0.0,0.0,36.0,36.0,0.0,0.0
t̪,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ʈ,27.0,0.0,0.0,15.0,16.0,0.0,0.0
s,726.0,18.0,6.0,267.0,255.0,0.0,0.0
d͡ʒ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t͡ʃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h,246.0,0.0,2.0,18.0,46.0,0.0,0.0
d,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x,392.0,0.0,0.0,30.0,114.0,0.0,0.0
t͡s,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d͡z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d̪,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ɖ,27.0,0.0,2.0,17.0,39.0,0.0,0.0
z,96.0,0.0,18.0,42.0,21.0,0.0,0.0
r,421.0,1.0,40.0,288.0,216.0,0.0,0.0
ɻ,63.0,0.0,66.0,142.0,103.0,0.0,0.0
z,96.0,0.0,18.0,42.0,21.0,0.0,0.0
d͡z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ʐ,0.0,0.0,1.0,59.0,5.0,0.0,0.0
s,726.0,18.0,6.0,267.0,255.0,0.0,0.0
ʃ,145.0,8.0,4.0,115.0,393.0,0.0,0.0
x,392.0,0.0,0.0,30.0,114.0,0.0,0.0
s,726.0,18.0,6.0,267.0,255.0,0.0,0.0
d̪,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t̪,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z,96.0,0.0,18.0,42.0,21.0,0.0,0.0
ɣ,327.0,0.0,6.0,8.0,13.0,0.0,0.0
f,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q,42.0,2.0,1.0,8.0,4.0,0.0,0.0
k,304.0,1.0,3.0,86.0,582.0,0.0,0.0
ɡ,49.0,0.0,5.0,9.0,27.0,0.0,0.0
l,480.0,4.0,80.0,260.0,214.0,0.0,0.0
m,263.0,38.0,1.0,60.0,90.0,0.0,0.0
n,255.0,7.0,47.0,138.0,146.0,0.0,0.0
ɳ,5.0,0.0,5.0,3.0,6.0,0.0,0.0
w,594.0,21.0,13.0,324.0,96.0,0.0,0.0
h,246.0,0.0,2.0,18.0,46.0,0.0,0.0
t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
