IPA,Final,Medial,Initial,Isolated
a,ـا,ـﺎ,آ,آ
b,ـﺐ,ـﺒـ,بـ,ب
p,ـﭗ,ـﭙـ,پـ,پ
t̪,ـﺖ,ـﺘـ,تـ,ت
ʈ,ـټ,ـټـ,ټـ,ټ
s,ـﺚ,ـﺜـ,ثـ,ث
d͡ʒ,ـﺞ,ـﺞ,ـﺞ,ج
t͡ʃ,ـﭻ,ـﭽـ,چـ,چ
h ,ـﺢ,ـﺤـ,حـ,ح
k,ـﺦ,ـﺨـ,خـ,خ
t͡s,ـڅ,ـڅـ,څـ,څ
d͡z ,ـځ,ـځـ,ځـ,ځ
d̪,ـﺪ,ـﺪ,د,د
ɖ,ـډ,ـډ,ډ,ډ
z,ـﺬ,ـﺬ,ﺫ,ﺫ
r,ـﺮ,ـﺮ,ﺭ,ﺭ
 ɻ,ـړ,ـړ,ړ,ړ
z,ـﺰ,ـﺰ,ﺯ,ﺯ
d͡z,ـﮋ,ـﮋ,ژ,ژ
ʐ,ـږ,ـږ,ږ,ږ
s,ـﺲ,ـﺴـ,سـ,س
ʃ,ـﺶ,ـﺸـ,شـ,ش
x,ـښ,ـښـ,ښـ,ښ
s,ـﺺ,ـﺼـ,صـ,ص
d̪,ـﺾ,ـﻀـ,ضـ,ض
t̪,ـﻂ,ـﻄـ,طـ,ط
z,ـﻆ,ـﻈـ,ظـ,ظ
ā,ـﻊ,ـﻌـ,عـ,ع
ɣ,ـﻎ,ـﻐـ,غـ,غ
f ,ـﻒ,ـﻔـ,فـ,ف
q,ـﻖ,ـﻘـ,قـ,ق
k,ـک,ـکـ,کـ,ک
ɡ,ـګ,ـګـ,ګـ,ګ
l,ـﻞ,ـﻠـ,لـ,ل
m,ـﻢ,ـﻤـ,مـ,م
n,ـﻦ,ـﻨـ,نـ,ن
ɳ,ـڼ,ـڼـ,ڼـ,ڼ
w,ـﻮ,ـﻮ,و,و
h,ـﻪ,ـﻬـ,هـ,ه
ə,ﮥ,ۀ,Not yet,Not yet
i,ـﻲ,ـﻴـ,يـ,ي
e,ـﯥ,ـﯧـ,ېـ,ې
ai,ـی,ی,Not yet,Not yet
əi,ـۍ,ۍ,Not yet,Not yet
əi,ـئ,ـئـ,ئـ,ئ
ɑ,Not yet,Not yet,Not yet,ا
əi,Not yet,Not yet,Not yet,ے
z,Not yet,Not yet,Not yet,ز
