IPA,Final,Medial,Initial,Isolated
"[ɑ], [ʔ]",ـا,ـﺎ,"آ, ا","آ, ا"
[b],ـﺐ,ـﺒـ,بـ,ب
[p],ـﭗ,ـﭙـ,پـ,پ
[t̪],ـﺖ,ـﺘـ,تـ,ت
[ʈ],ـټ,ـټـ,ټـ,ټ
[s],ـﺚ,ـﺜـ,ثـ,ث
[d͡ʒ],ـﺞ,ـﺞ,ـﺞ,ج
[t͡ʃ],ـﭻ,ـﭽـ,چـ,چ
[h] / [x],ـﺢ,ـﺤـ,حـ,ح
[x],ـﺦ,ـﺨـ,خـ,خ
[t͡s] / [s],ـڅ,ـڅـ,څـ,څ
[d͡z] / [z],ـځ,ـځـ,ځـ,ځ
[d̪],ـﺪ,ـﺪ,د,د
[ɖ],ـډ,ـډ,ډ,ډ
[z],ـﺬ,ـﺬ,ﺫ,ﺫ
[r],ـﺮ,ـﺮ,ﺭ,ﺭ
"[ɺ̢], [ɭ̆], [ɻ]",ـړ,ـړ,ړ,ړ
[z],ـﺰ,ـﺰ,ﺯ,ﺯ
[d͡z],ـﮋ,ـﮋ,ژ,ژ
"[ʐ] (Southern)
[ʝ] (Central)
[ɡ] (Northern)",ـږ,ـږ,ږ,ږ
[s],ـﺲ,ـﺴـ,سـ,س
[ʃ],ـﺶ,ـﺸـ,شـ,ش
"[ʂ] (Southern)
[ç] (Central)
[x] (Northern)",ـښ,ـښـ,ښـ,ښ
[s],ـﺺ,ـﺼـ,صـ,ص
"[z], [d̪]",ـﺾ,ـﻀـ,ضـ,ض
[t̪],ـﻂ,ـﻄـ,طـ,ط
[z],ـﻆ,ـﻈـ,ظـ,ظ
[ʕ],ـﻊ,ـﻌـ,عـ,ع
[ɣ],ـﻎ,ـﻐـ,غـ,غ
[f] / [p],ـﻒ,ـﻔـ,فـ,ف
[q] / [k],ـﻖ,ـﻘـ,قـ,ق
[k],ـک,ـکـ,کـ,ک
[ɡ],ـګ,ـګـ,ګـ,ګ
[l],ـﻞ,ـﻠـ,لـ,ل
[m],ـﻢ,ـﻤـ,مـ,م
[n],ـﻦ,ـﻨـ,نـ,ن
[ɳ],ـڼ,ـڼـ,ڼـ,ڼ
"[w], [u], [o]",ـﻮ,ـﻮ,و,و
"[h], [a]",ـﻪ,ـﻬـ,هـ,ه
[ə],ﮥ,ۀ,Not yet,Not yet
"[j], [i]",ـﻲ,ـﻴـ,يـ,ي
[e],ـﯥ,ـﯧـ,ېـ,ې
"[ai], [j]",ـی,ی,Not yet,Not yet
[əi],ـۍ,ۍ,Not yet,Not yet
"[əi], [j]",ـئ,ـئـ,ئـ,ئ
