IPA,Final,Medial,Initial,Isolated
a,ـا,ـﺎ,آ,آ
b,ـﺐ,ـﺒـ,بـ,ب
p,ـﭗ,ـﭙـ,پـ,پ
ṱ,ـﺖ,ـﺘـ,تـ,ت
ʈ,ـټ,ـټـ,ټـ,ټ
θ,ـﺚ,ـﺜـ,ثـ,ث
ʤ,ـﺞ,ـﺞ,ـﺞ,ج
ʧ,ـﭻ,ـﭽـ,چـ,چ
ħ,ـﺢ,ـﺤـ,حـ,ح
χ,ـﺦ,ـﺨـ,خـ,خ
ʦ,ـڅ,ـڅـ,څـ,څ
ʣ,ـځ,ـځـ,ځـ,ځ
ḓ,ـﺪ,ـﺪ,د,د
ɖ,ـډ,ـډ,ډ,ډ
ð,ـﺬ,ـﺬ,ﺫ,ﺫ
r,ـﺮ,ـﺮ,ر,ر
ɻ,ـړ,ـړ,ړ,ړ
z,ـﺰ,ـﺰ,ﺯ,ﺯ
ʒ,ـﮋ,ـﮋ,ژ,ژ
ɡʲ,ـږ,ـږ,ږ,ږ
s,ـﺲ,ـﺴـ,سـ,س
ʃ,ـﺶ,ـﺸـ,شـ,ش
X,ـښ,ـښـ,ښـ,ښ
sˤ,ـﺺ,ـﺼـ,صـ,ص
dˤ,ـﺾ,ـﻀـ,ضـ,ض
tˤ,ـﻂ,ـﻄـ,طـ,ط
zˤ,ـﻆ,ـﻈـ,ظـ,ظ
ʕ,ـﻊ,ـﻌـ,عـ,ع
ʁ,ـﻎ,ـﻐـ,غـ,غ
ɸ,ـﻒ,ـﻔـ,فـ,ف
q,ـﻖ,ـﻘـ,قـ,ق
k,ـک,ـکـ,کـ,ک
ɡ,ـګ,ـګـ,ګـ,ګ
l,ـﻞ,ـﻠـ,لـ,ل
m,ـﻢ,ـﻤـ,مـ,م
n,ـﻦ,ـﻨـ,نـ,ن
ɳ,ـڼ,ـڼـ,ڼـ,ڼ
w,ـﻮ,ـﻮ,و,و
ɦ,ـﻪ,ـﻬـ,هـ,ه
ə,ﮥ,ۀ,Not yet,Not yet
ʎ,ـﻲ,ـﻴـ,يـ,ي
e,ـﯥ,ـﯧـ,ېـ,ې
ai,ـی,ی,Not yet,Not yet
əi,ـۍ,ۍ,Not yet,Not yet
əi,ـئ,ـئـ,ئـ,ئ
I,Not yet,Not yet,Not yet,ا
əi,Not yet,Not yet,Not yet,ے
r,ر,ر,ر,ر
