words,POS
ټګ,Adjective
ټ,Noun
ځګ,Noun
ټټۍ,Noun
څېټۍ,Noun
ګی,Suffix
یې,Verb
آ,Interjection
آ,Noun
څړځای,Noun
څړا,Noun
ټاټ,Noun
ځاځی,Noun
اډ,Noun
اټۍ,Noun
اې,Particle
اڅا,Noun
اګا بګا,Noun
اړاند,Adjective
اګاهو,Adverb
اړاو,Noun
اډاوڼه,Noun
اړايستل,Verb
آب,Noun
ټاب,Noun
ابۍ,Noun
ابا,Noun
ابابيله,Noun
اباتېدل,Verb
اباتېدنه,Noun
اباتوالی,Noun
اباتوب,Noun
اباتول,Verb
اباتونه,Noun
اباتي,Noun
اباخېل,Noun
ابادېدل,Verb
ابادېدنه,Noun
آبادول,Verb
ابادول,Verb
ابادونه,Noun
ابادي,Noun
اباسين,Noun
اباګنۍ,Noun
ابايي,Adjective
آبباز,Noun
آببازي,Noun
ابتدا,Noun
ابتدايي,Adjective
ابترېدل,Verb
ابترول,Verb
ابتکار,Noun
ابتکاري,Adjective
ابته,Adjective
ابجد,Noun
ابجد ويونکي,Adjective
ابجوشه,Noun
ابحاث,Noun
ابحار,Noun
ابد,Noun
آبداري,Noun
ابداع,Noun
ابدال,Noun
ابدالی,Noun
ابدي,Adjective
ابديت,Noun
ابرا,Noun
ابرک,Noun
ابره,Noun
ابره ور,Adjective
ابرو,Noun
ابرومن,Adjective
ابشار,Noun
ابعاد,Noun
ابک,Noun
ابل,Adjective
ابلاغ,Noun
ابلاغېدل,Verb
ابلاغول,Verb
ابلاغيه,Noun
ابلک,Adjective
ابلوڅ,Adjective
ابليس,Noun
ابهام,Noun
آبي,Adjective
اېښ پېښ,Adjective
ټاپ,Noun
ټاپی,Noun
اپارتمان,Noun
ډاګپاڼه,Noun
ښاپېرۍ,Noun
اپرېدی,Noun
اپرېشن,Noun
ښاپېرک,Noun
ښاپرک,Noun
اپرېل,Noun
اپس ډنډه,Noun
اپغان,Noun
اپلاتون,Noun
اپلتې,Noun
اپېلل,Verb
اپله دې پله,Adverb
اپنډېکس,Noun
اپنډېڅيت,Noun
ټاپه,Noun
ټاپو,Noun
اپوټه,Adjective
اپي,Noun
اپيم,Noun
اپين,Noun
څاپيړه,Noun
څاښت,Noun
څاښتی,Noun
اتڼ,Noun
اتازوني,Noun
اتاشه,Noun
اتام,Noun
اتبار,Noun
اتباع,Noun
اتڼچي,Noun
اتحاد,Noun
اتحاديه,Noun
اترنګ,Noun
اتريش,Noun
اتشبازي,Noun
اتش پرست,Adjective
اتشک,Noun
اتشکده,Noun
اتشګير,Noun
اتصال,Noun
اتفاق,Noun
اتفاقي,Adjective
اتکۍ,Noun
اتکړۍ,Noun
اتکا,Noun
اتل,Adjective
اتلس,Noun
اتلس,Numerical
اتلسم,Adjective
اتلوال,Noun
اتلواله,Noun
اتم,Adjective
اتمانخېل,Noun
اتمانزی,Noun
اتمبار,Noun
اتموسفير,Noun
اتڅنډ,Adjective
اتنوګرافي,Noun
اتنيم,Numerical
اته,Numerical
اتهام,Noun
اتهْېنۍ,Noun
اته ويشت,Numerical
اتو,Noun
اتوار,Noun
اتوب,Noun
اتوم,Noun
اتومات,Adjective
اتوماتيک,Adjective
اتومي,Adjective
اتي,Noun
اړتيا,Noun
اتيا,Numerical
اتياونه,Adverb
اتيايم,Adjective
اثاث,Noun
اثبات,Noun
اثباتېدل,Verb
اثباتول,Verb
اثنا,Noun
اثير,Noun
اجاڼۍ,Noun
اجاره,Noun
اجاره دار,Noun
اجازه,Noun
اجازه نامه,Noun
اجازه ورکول,Verb
اجايي,Noun
اجباري,Adjective
اجتماع,Noun
اجتماعي,Adjective
اجتناب,Noun
اجتهاد,Noun
اجداد,Noun
اجدادي,Adjective
اجر,Noun
اجرا,Noun
اجرام,Noun
اجرائيه,Adjective
اجرت,Noun
اجره,Noun
اجزا,Noun
اجسام,Noun
اجغونه,Noun
اجل,Noun
اجلځی,Noun
اجلاس,Noun
اجلاسيه,Noun
اجماع,Noun
اجمال,Noun
اجمالي,Adjective
اجناس,Noun
اجنبي,Noun
اجڼه,Noun
اجوت,Adjective
اجوتول,Verb
اجوره,Noun
اجير,Noun
ګاچ,Noun
اچۍ,Noun
اچار,Noun
