consonant,ɑ,ā,ə,i,e,ai,əi
b,5021.0,116.0,26.0,1882.0,1544.0,0.0,26.0
p,6823.0,0.0,13.0,935.0,792.0,0.0,9.0
t̪,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ʈ,977.0,0.0,24.0,273.0,260.0,0.0,24.0
s,12345.0,753.0,483.0,8919.0,6090.0,0.0,471.0
d͡ʒ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t͡ʃ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h,3460.0,0.0,10.0,758.0,1698.0,0.0,10.0
d,0.0,0.0,0.0,0.0,0.0,0.0,0.0
x,5192.0,0.0,32.0,954.0,2090.0,0.0,32.0
t͡s,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d͡z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d̪,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ɖ,613.0,0.0,27.0,426.0,1138.0,0.0,27.0
z,1224.0,0.0,285.0,1080.0,405.0,0.0,285.0
r,9100.0,93.0,851.0,5549.0,4715.0,0.0,849.0
ɻ,1092.0,0.0,2412.0,3665.0,2149.0,0.0,2410.0
z,1224.0,0.0,285.0,1080.0,405.0,0.0,285.0
d͡z,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ʐ,2.0,0.0,39.0,1586.0,172.0,0.0,39.0
s,12345.0,753.0,483.0,8919.0,6090.0,0.0,471.0
ʃ,3171.0,134.0,372.0,2718.0,8612.0,0.0,372.0
x,5192.0,0.0,32.0,954.0,2090.0,0.0,32.0
s,12345.0,753.0,483.0,8919.0,6090.0,0.0,471.0
d̪,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t̪,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z,1224.0,0.0,285.0,1080.0,405.0,0.0,285.0
ɣ,4958.0,0.0,75.0,155.0,648.0,0.0,74.0
f,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q,1100.0,99.0,14.0,281.0,63.0,0.0,14.0
k,6822.0,16.0,368.0,2704.0,12365.0,0.0,368.0
ɡ,933.0,0.0,37.0,277.0,477.0,0.0,37.0
l,9161.0,71.0,973.0,5307.0,3700.0,0.0,972.0
m,5563.0,1039.0,123.0,1870.0,2135.0,0.0,123.0
n,4162.0,137.0,1084.0,3407.0,3046.0,0.0,1079.0
ɳ,32.0,0.0,78.0,116.0,469.0,0.0,78.0
w,11088.0,280.0,141.0,6477.0,2394.0,0.0,128.0
h,3460.0,0.0,10.0,758.0,1698.0,0.0,10.0
t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
